Type of crime,Region,Year,The number of crimes,The number of crimes (cases per 100.000 population),is_federal_level
Theft,Republic of Buryatia,2008,14799.0,1533.3,False
Theft,Tuva Republic,2008,1558.0,512.9,False
Theft,Republic of Khakassia,2008,7276.0,1369.5,False
Theft,Altai Krai,2008,29218.0,1190.9,False
Theft,Zabaykalsky Krai,2008,12857.0,1156.8,False
Theft,Krasnoyarsk Krai,2008,36759.0,1295.7,False
Theft,Irkutsk Oblast,2008,34940.0,1423.0,False
Theft,Kemerovo Oblast,2008,30590.0,1100.3,False
Theft,Novosibirsk Oblast,2008,32069.0,1213.5,False
Theft,Omsk Oblast,2008,19722.0,989.4,False
Theft,Tomsk Oblast,2008,14846.0,1446.5,False
Theft,Sakha (Yakutia) Republic,2008,9031.0,941.8,False
Theft,Kamchatka Krai,2008,2011.0,613.2,False
Theft,Primorsky Krai,2008,30845.0,1559.9,False
Theft,Khabarovsk Krai,2008,25117.0,1853.9,False
Theft,Amur Oblast,2008,10085.0,1194.5,False
Theft,Magadan Oblast,2008,1554.0,947.6,False
Theft,Sakhalin Oblast,2008,6449.0,1266.1,False
Theft,Jewish Autonomous Oblast,2008,2333.0,1305.5,False
Theft,Chukotka Autonomous Okrug,2008,314.0,594.4,False
Robbery without violence,Russian Federation,2008,243957.0,170.9,True
Robbery without violence,Belgorod Oblast,2008,789.0,51.9,False
Robbery without violence,Bryansk Oblast,2008,1000.0,76.7,False
Robbery without violence,Vladimir Oblast,2008,1910.0,130.2,False
Robbery without violence,Voronezh Oblast,2008,2007.0,85.6,False
Robbery without violence,Ivanovo Oblast,2008,1626.0,150.4,False
Robbery without violence,Kaluga Oblast,2008,946.0,93.0,False
Robbery without violence,Kostroma Oblast,2008,752.0,110.0,False
Robbery without violence,Kursk Oblast,2008,1047.0,90.9,False
Robbery without violence,Lipetsk Oblast,2008,1447.0,121.9,False
Robbery without violence,Moscow Oblast,2008,8486.0,123.1,False
Robbery without violence,Oryol Oblast,2008,678.0,84.2,False
Robbery without violence,Ryazan Oblast,2008,584.0,49.7,False
Robbery without violence,Smolensk Oblast,2008,1482.0,146.9,False
Robbery without violence,Tambov Oblast,2008,553.0,49.5,False
Robbery without violence,Tver Oblast,2008,2320.0,167.3,False
Robbery without violence,Tula Oblast,2008,885.0,55.7,False
Robbery without violence,Yaroslavl Oblast,2008,2745.0,212.4,False
Robbery without violence,Moscow,2008,20085.0,179.5,False
Robbery without violence,Republic of Karelia,2008,967.0,146.6,False
Robbery without violence,Komi Republic,2008,2036.0,217.8,False
Robbery without violence,Arkhangelsk Oblast,2008,1953.0,160.7,False
Robbery without violence,Nenets Autonomous Okrug,2008,45.0,107.4,False
Robbery without violence,Vologda Oblast,2008,2123.0,174.0,False
Robbery without violence,Kaliningrad Oblast,2008,1290.0,137.9,False
Robbery without violence,Leningrad Oblast,2008,2239.0,132.3,False
Robbery without violence,Murmansk Oblast,2008,1346.0,165.1,False
Robbery without violence,Novgorod Oblast,2008,817.0,125.3,False
Robbery without violence,Pskov Oblast,2008,717.0,102.5,False
Robbery without violence,Saint Petersburg,2008,10221.0,214.5,False
Robbery without violence,Republic of Dagestan,2008,386.0,13.8,False
Robbery without violence,Republic of Ingushetia,2008,25.0,6.1,False
Robbery without violence,Kabardino-Balkar Republic,2008,441.0,51.4,False
Robbery without violence,Karachay-Cherkess Republic,2008,155.0,33.2,False
